Name,Price,Grammage,IsOffer,Category,Price (EUR/ Kg),net_carbs,sugar,fiber,saturated_fat,protein,energy,carbohydrates,sodium,calcium,monounsaturated_fat,vitamin_c,cholesterol,fat,iron,polyunsaturated_fat,potassium,vitamin_a,grams,trans_fat,energy (kcal),Search Result Name,Search Result Brand,vitamin_d,sugar_alcohols,added_sugars
Beyond Meat Sausage vegan 200g,"3,99 €","200g (1 kg = 19,95 €)",False,Grillsaison,19.95,3.0,0.0,2.0,9.0,19.0,"{'unit': 'calories', 'value': 270.0}",5.0,420.0,3.0,0.0,1.0,0.0,20.0,31.0,0.0,9.0,0.0,1.0,0.1,270.0,vegan sausage,beyond meat,0.0,0.0,0.0
Meggle Kräuterbutter portioniert 5x20g,"1,69 €","5x20g (1 kg = 16,90 €)",True,Grillsaison,16.9,3.3,2.4,,40.0,1.2,"{'unit': 'calories', 'value': 578.0}",3.3,827.0,,,,,62.0,,,,,1.0,,578.0,Kräuterbutter,Meggle,,,
Knorr Salatkrönung Gartenkräuter Dressing...,"1,49 €","40g (1 kg = 37,25 €)",False,Grillsaison,37.25,0.0,6.0,0.0,0.0,0.0,"{'unit': 'calories', 'value': 30.0}",0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,30.0,Salatkrönung Gartenkräuter,Knorr,,,
Beyond Meat Beyond Burger vegan 226g,"3,99 €","226g (1 kg = 17,65 €)",False,Grillsaison,17.65,5.0,0.0,2.0,5.0,20.0,"{'unit': 'calories', 'value': 230.0}",7.0,390.0,10.0,6.0,,0.0,14.0,22.2222,3.0,330.0,,113.0,,230.0,Beyond Burger,Beyond Meat,0.0,,0.0
REWE Bio Zuckermais vakuumiert 400g,"2,49 €","400g (1 kg = 6,23 €)",False,Grillsaison,6.23,17.0,6.6,4.0,0.4,3.5,"{'unit': 'calories', 'value': 104.0}",21.0,,,,,,1.7,,,,,1.0,,104.0,Zuckermais vakuumiert,Rewe Beste Wahl,,,
"Kartoffeln vorwiegend festkochend 2,5kg","2,99 €","2,50kg (1 kg = 1,20 €)",False,Grillsaison,1.2,370.0,0.0,0.0,0.0,2.0,"{'unit': 'calories', 'value': 71.0}",370.0,0.0,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,0.0,1.0,0.0,71.0,Kartoffeln vorwiegend festkochend,Netto,,,
Champignons weiß 400g,"2,19 €","400g (1 kg = 5,48 €)",False,Grillsaison,5.48,0.6,,,,2.7,"{'unit': 'calories', 'value': 20.0}",0.6,,,,,,0.3,,,,,1.0,,20.0,Weiß,Champignons,,,
Marka Hellas Halloumi 225g,"2,99 €","225g (1 kg = 13,29 €)",False,Grillsaison,13.29,1.2,1.2,,18.2,21.6,"{'unit': 'calories', 'value': 334.0}",1.2,2800.0,,,,,26.4,,,,,1.0,,334.0,Halloumi,Marka Hellas,,,
Meggle Klassik Baguette Kräuter-Butter 160g,"1,39 €","160g (1 kg = 8,69 €)",True,Grillsaison,8.69,38.0,2.6,,8.2,7.0,"{'unit': 'calories', 'value': 302.0}",38.0,1400.0,,,,,13.0,,,,,1.0,,302.0,Klassik Baguette (Kräuter-Butter),Meggle,,,
REWE Bio Original Nürnberger...,"2,99 €","160g (1 kg = 18,69 €)",True,Grillsaison,18.69,0.2,0.2,0.0,2.4,2.8,"{'unit': 'calories', 'value': 70.0}",0.2,186.0,0.0,0.0,0.0,0.0,6.4,0.0,0.0,57.0,0.0,1.0,0.0,70.0,Original Nürnberger Rostbratwürstchen,Bratwurst Nürnberger Rewe Bio,,,
Marka Hellas Feta 200g,"2,19 €","200g (1 kg = 10,95 €)",False,Grillsaison,10.95,1.2,1.2,,18.2,21.6,"{'unit': 'calories', 'value': 334.0}",1.2,2800.0,,,,,26.4,,,,,1.0,,334.0,Halloumi,Marka Hellas,,,
REWE Bio Feta 200g,"2,79 €","200g (1 kg = 13,95 €)",False,Grillsaison,13.95,1.0,1.0,,16.0,16.0,"{'unit': 'calories', 'value': 275.0}",1.0,2.5,,,,,23.0,,,,,1.0,,275.0,Feta,Rewe Bio Feta,,,
Butcher's Burger Brioche Burger Buns 4 Stück,"1,69 €","250g (1 kg = 6,76 €)",False,Grillsaison,6.76,47.0,8.7,,3.5,9.0,"{'unit': 'calories', 'value': 296.0}",47.0,1100.0,,,,,7.2,,,,,1.0,,296.0,Burger Buns Brioche,Butcher's Burger,,,
Meggle Laugenbaguette Kräuterbutter 160g,"1,59 €","160g (1 kg = 9,94 €)",True,Grillsaison,9.94,35.0,3.6,0.0,9.6,6.3,"{'unit': 'calories', 'value': 308.0}",35.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,1.0,0.0,308.0,Laugenbaguette Kräuterbutter,Meggle,,,
Milram Frühlingsquark 185g,"1,49 €","185g (1 kg = 8,05 €)",False,Grillsaison,8.05,8.0,,,,17.5,"{'unit': 'calories', 'value': 146.0}",8.0,,,,,,7.4,,,,,1.0,,146.0,"Frühlingsquark leicht 185g ,,1 Tasse""",,,,
Butcher's Burger Sesam Burger Buns 4 Stück,"1,19 €","300g (1 kg = 3,97 €)",False,Grillsaison,3.97,50.8,6.6,3.2,0.5,9.0,"{'unit': 'calories', 'value': 293.0}",54.0,0.98,,,,,5.3,,,,,1.0,,293.0,Sesam Burger Buns,Butcher's Burger,,,
REWE Bio Hirtenkäse 45% 200g,"1,79 €","200g (1 kg = 8,95 €)",False,Grillsaison,8.95,0.6,,,13.0,17.0,"{'unit': 'calories', 'value': 254.0}",0.6,,,,,,20.0,,,,,1.0,,254.0,Hirtenkäse 45%,Rewe Bio,,,
REWE Bio Blattsalat Mix 125g,"1,69 €","125g (1 kg = 13,52 €)",False,Grillsaison,13.52,20.0,,,,2.5,"{'unit': 'calories', 'value': 89.0}",20.0,,,,,,1.2,,,,,1.0,,89.0,Kumquat 125g,Rewe Bio,,,
Barilla Penne Rigate Nr.73 500g,"2,09 €","500g (1 kg = 4,18 €)",False,Grillsaison,4.18,72.2,0.4,,0.2,12.0,"{'unit': 'calories', 'value': 350.0}",72.2,,,,,,1.5,,,,,1.0,,350.0,Penne Rigate No.73,Barilla,,,
REWE Bio Rostbratwurst 200g,"3,19 €","200g (1 kg = 15,95 €)",True,Grillsaison,15.95,1.0,0.5,0.0,12.0,15.0,"{'unit': 'calories', 'value': 282.0}",1.0,0.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,1.0,0.0,282.0,Rostbratwurst,Bio Rewe,,,
Meggle Klassik Baguette Knoblauch-Butter 160g,"1,39 €","160g (1 kg = 8,69 €)",True,Grillsaison,8.69,38.0,,,,7.0,"{'unit': 'calories', 'value': 302.0}",38.0,,,,,,13.0,,,,,1.0,,302.0,Klassik Baguett Knoblauch,Meggle,,,
Barilla Fusilli Nr.98 500g,"2,09 €","500g (1 kg = 4,18 €)",False,Grillsaison,4.18,71.7,3.5,3.0,0.3,12.5,"{'unit': 'calories', 'value': 356.0}",74.7,,,,,,1.5,,,,,1.0,,356.0,Fussili (Nr. 98),Barilla,,,
REWE Beste Wahl Himbeer-Heidelbeer-Mi...,"1,99 €","300g (1 kg = 6,63 €)",False,Grillsaison,6.63,,,,,,,,,,,,,,,,,,,,,,,,,
Züger Bio Mozzarella Herzen 130g,"1,69 €",130g (1 kg = 13 €),True,Grillsaison,13.0,1.0,1.0,0.0,12.3,18.9,"{'unit': 'calories', 'value': 246.0}",1.0,0.6,0.0,0.0,0.0,0.0,18.5,0.0,0.0,0.0,0.0,1.0,0.0,246.0,Mozzarella Bio,Züger,,,
REWE Bio + vegan Tofu Natur 2x200g,"2,19 €","2x200g (1 kg = 5,48 €)",False,Grillsaison,5.48,1.8,0.5,,1.0,13.0,"{'unit': 'calories', 'value': 129.0}",1.8,,,,,,7.5,,,,,1.0,,129.0,Bio Tofu (Natur | aus Bio-Sojabohnen) [2x200g],REWE Bio+vegan,,,
Hochland Sandwich Scheiben Gouda 150g,"2,49 €","150g (1 kg = 16,60 €)",False,Grillsaison,16.6,3.0,0.0,0.0,0.0,19.0,"{'unit': 'calories', 'value': 340.0}",3.0,0.0,0.0,0.0,0.0,0.0,28.0,0.0,0.0,0.0,0.0,1.0,0.0,340.0,Sandwich-Scheiben Gouda,Hochland,,,
Patros Natur 180g,"2,99 €","180g (1 kg = 16,61 €)",False,Grillsaison,16.61,0.7,0.7,0.0,16.0,15.0,"{'unit': 'calories', 'value': 282.0}",0.7,1080.0,0.0,0.0,0.0,0.0,24.0,0.0,0.0,0.0,0.0,1.0,0.0,282.0,Natur,Patros,,,
REWE Beste Wahl Kartoffelsalat mit Essig...,"1,69 €","400g (1 kg = 4,23 €)",False,Grillsaison,4.23,15.0,4.6,,0.5,1.6,"{'unit': 'calories', 'value': 122.0}",15.0,,,,,,5.8,,,,,1.0,,122.0,Kartoffelsalat mit Essig & Öl,REWE Beste Wahl,,,
Ibis Steinofen Baguette 250g,"1,49 €","250g (1 kg = 5,96 €)",False,Grillsaison,5.96,50.8,3.7,0.0,0.2,8.3,"{'unit': 'calories', 'value': 249.0}",50.8,1.38,0.0,0.0,0.0,0.0,0.9,0.0,0.0,0.0,0.0,1.0,0.0,249.0,Steinofen Baguette,IBIS,,,
REWE Bio Geflügelbratwurst 160g,"2,99 €","160g (1 kg = 18,69 €)",True,Grillsaison,18.69,1.0,1.0,,7.0,15.0,"{'unit': 'calories', 'value': 235.0}",1.0,,,,,,19.0,,,,,1.0,,235.0,Bio Geflügelbratwurst,Rewe,,,
"Iglo Green Cuisine ""Chicken"" Dinos vegan...","3,39 €","250g (1 kg = 13,56 €)",False,Vegane Vielfalt,13.56,24.0,0.5,6.0,1.2,11.0,"{'unit': 'calories', 'value': 305.0}",30.0,,,,,,17.0,,,,,1.0,,305.0,Vegane dinos,Iglo Veggie Dinos,,,
REWE Bio zarte Haferflocken 500g,"0,89 €","500g (1 kg = 1,78 €)",False,Vegane Vielfalt,1.78,57.0,0.7,9.5,1.3,12.5,"{'unit': 'calories', 'value': 360.0}",66.5,10.0,,,,,7.0,,,,,1.0,,360.0,Haferflocken (Zart) 500g,Rewe Ja!,,,
Beyond Meat Beyond Hack vegan 300g,"3,99 €","300g (1 kg = 13,30 €)",False,Vegane Vielfalt,13.3,5.6,,,5.6,17.0,"{'unit': 'calories', 'value': 252.0}",5.6,,,,,,19.0,,,,,1.0,,252.0,Vegan,Beyond meat,,,
Iglo Green Cuisine Gemüsestäbchen vegan...,"3,29 €","426g (1 kg = 7,72 €)",False,Vegane Vielfalt,7.72,,,,,,,,,,,,,,,,,,,,,,,,,
The Vegetarian Butcher Chick-Eria Filets vegan...,"3,49 €","180g (1 kg = 19,39 €)",False,Vegane Vielfalt,19.39,0.0,0.0,0.0,0.0,16.0,"{'unit': 'calories', 'value': 150.0}",0.0,,,,,,0.0,,,,,1.0,,150.0,Chick-Eria Filets,The Vegetarian Butcher,,,
Hitschler Fruchtgummi Bunte Drachenzungen...,"0,99 €","125g (1 kg = 7,92 €)",True,Vegane Vielfalt,7.92,82.0,0.0,0.0,1.2,2.3,"{'unit': 'calories', 'value': 369.0}",82.0,0.0,0.0,0.0,0.0,0.0,2.2,0.0,0.0,0.0,0.0,1.0,0.0,369.0,Saurer Fruchtgummi,Hitschler Bunte Drachenzungen,,,
Alpro Skyr-Alternative Ohne Zucker vegan 400g,"1,99 €","400g (1 kg = 4,98 €)",False,Vegane Vielfalt,4.98,0.0,,1.3,0.6,5.8,"{'unit': 'calories', 'value': 61.0}",1.3,,,,,,3.3,,,,,1.0,,61.0,Skyr-Alternative ohne Zucker,Alpro,,,
REWE Bio Kichererbsen 215g,"0,85 €","215g (1 kg = 3,95 €)",False,Vegane Vielfalt,3.95,14.0,0.4,0.0,0.4,6.5,"{'unit': 'calories', 'value': 120.0}",14.0,0.1,0.0,0.0,0.0,0.0,2.7,0.0,0.0,0.0,0.0,1.0,0.0,120.0,Kichererbsen,REWE Bio,,,
Bürger Vegane Maultaschen 300g,"1,89 €","300g (1 kg = 6,30 €)",True,Vegane Vielfalt,6.3,28.9,3.1,3.3,0.2,7.8,"{'unit': 'calories', 'value': 172.0}",32.199999999999996,480.0,0.0,0.0,0.0,0.0,2.1,0.0,0.0,0.0,0.0,1.0,0.0,172.0,Maultaschen,Bürger Maultaschen Vegan,,,
Kölln Flocken blütenzart 500g,"1,69 €","500g (1 kg = 3,38 €)",False,Vegane Vielfalt,3.38,55.8,1.2,11.1,1.3,13.8,"{'unit': 'calories', 'value': 361.0}",66.89999999999999,0.0,0.0,0.0,0.0,0.0,6.7,0.0,0.0,0.0,0.0,1.0,0.0,4.0,Blütenzart,Kölln Flocken,,,
Leicht&Cross Knusperbrot Vollkorn...,"1,39 €","125g (1 kg = 11,12 €)",False,Vegane Vielfalt,11.12,18.0,0.0,0.0,0.13,2.9,"{'unit': 'calories', 'value': 96.0}",18.0,0.0,0.0,0.0,0.0,0.0,0.7,0.0,0.0,0.0,0.0,1.0,0.0,96.0,Knusperbrot Vollkorn,Leicht &  Cross,,,
REWE Bio + vegan Tofu Natur 2x200g,"2,19 €","2x200g (1 kg = 5,48 €)",False,Vegane Vielfalt,5.48,,,,,,,,,,,,,,,,,,,,,,,,,
Lotus Biscoff Kekse 250g,"1,79 €","250g (1 kg = 7,16 €)",False,Vegane Vielfalt,7.16,5.7,3.0,,0.6,0.4,"{'unit': 'calories', 'value': 38.0}",5.7,,,,,,1.5,,,,,1.0,,38.0,Biscoff Kekse,Lotus,,,
"REWE Bio + vegan Streichcreme Paprika,...","1,19 €","180g (1 kg = 6,61 €)",True,Vegane Vielfalt,6.61,4.3,4.0,0.0,0.0,7.0,"{'unit': 'calories', 'value': 335.0}",4.3,1.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,1.0,0.0,335.0,vegane Streichcreme,,,,
Rügenwalder Mühle Veganer Schinken...,"1,59 €","80g (1 kg = 19,88 €)",False,Vegane Vielfalt,19.88,3.1,1.5,8.0,0.7,2.2,"{'unit': 'calories', 'value': 118.0}",11.1,,,5.7,,,9.0,,2.6,,,1.0,,118.0,Veganer Schinken Spicker,Rügenwalder Mühle,,,
Tante Fanny Frischer Flammkuchenteig 260g,"1,79 €","260g (1 kg = 6,88 €)",False,Vegane Vielfalt,6.88,48.0,2.9,1.6,1.8,7.8,"{'unit': 'calories', 'value': 262.0}",49.6,880.0,,0.0,,0.0,4.0,,0.0,0.0,,1.0,0.0,262.0,Frischer Flammkuchenteig,Tante Fanny,,,
REWE Beste Wahl 10 Mini Frühlingsrollen...,"2,59 €","280g (1 kg = 9,25 €)",False,Vegane Vielfalt,9.25,30.7,0.0,0.0,1.2,2.8,"{'unit': 'calories', 'value': 259.0}",30.7,800.0,0.0,0.0,0.0,0.0,13.5,0.0,0.0,0.0,0.0,1.0,0.0,259.0,Mini Frühlingsrollen,Rewe Beste Wahl,,,
REWE Bio Creamy Erdnussbutter 250g,"1,99 €","250g (1 kg = 7,96 €)",False,Vegane Vielfalt,7.96,12.4,7.1,,14.1,25.9,"{'unit': 'calories', 'value': 631.0}",12.4,510.0,,,,,51.8,,,,,1.0,,631.0,Creamy Erdnussbutter,REWE Bio,,,
Rügenwalder Mühle Schinken Spicker Salat...,"1,99 €","150g (1 kg = 13,27 €)",False,Vegane Vielfalt,13.27,0.0,,,,0.0,"{'unit': 'calories', 'value': 224.0}",0.0,,,,,,22.0,,,,,1.0,,224.0,Schinken Spicker Salat,Rügenwalder Mühle,,,
Rama Margarine Der Klassiker 400g,"1,99 €","400g (1 kg = 4,98 €)",False,Vegane Vielfalt,4.98,0.1,0.1,0.0,2.1,0.1,"{'unit': 'calories', 'value': 65.0}",0.1,0.01,0.0,3.3,0.0,0.0,7.0,0.0,1.6,0.0,10.0,1.0,0.0,65.0,Rama,Margarine,,,
REWE Bio Fruchtaufstrich Erdbeere 250g,"1,99 €","250g (1 kg = 7,96 €)",False,Vegane Vielfalt,7.96,37.0,37.0,,0.1,0.7,"{'unit': 'calories', 'value': 161.0}",37.0,0.03,,,,,0.5,,,,,1.0,,161.0,Fruchtaufstrich Erdbeere,Rewe Bio,,,
REWE Bio Aufstrich Mango-Papaya-Curry...,"1,19 €","180g (1 kg = 6,61 €)",True,Vegane Vielfalt,6.61,,,,,,,,,,,,,,,,,,,,,,,,,
Tukan Bio Tofufilets Classic vegan 160g,"2,39 €","160g (1 kg = 14,94 €)",True,Vegane Vielfalt,14.94,2.7,0.3,0.0,2.5,18.5,"{'unit': 'calories', 'value': 205.0}",2.7,1500.0,0.0,0.0,0.0,0.0,13.0,0.0,0.0,0.0,0.0,1.0,0.0,205.0,Tofufilets Classic,Tukan,,,
Alpro Joghurtalternative Soja Heidelbeere 400g,"1,99 €","400g (1 kg = 4,98 €)",False,Vegane Vielfalt,4.98,14.0,9.4,2.0,0.0,5.0,"{'unit': 'calories', 'value': 110.0}",16.0,126.0,180.0,1.0,0.0,0.0,3.0,0.0,2.0,0.0,0.0,1.0,0.0,110.0,Soja Joghurtalternative Heidelbeere,Alpro,,,
Bonduelle Kichererbsen 265g,"1,79 €","265g (1 kg = 6,75 €)",False,Vegane Vielfalt,6.75,14.7,0.0,7.7,0.2,6.4,"{'unit': 'calories', 'value': 120.0}",22.4,240.0,10.0,0.2,6.0,0.0,2.2,34.0,1.8,875.0,1.0,1.0,0.0,120.0,Kichererbsen,Bonduelle,,,
Dr. Oetker Creme Vega 150g,"1,29 €","150g (1 kg = 8,60 €)",False,Vegane Vielfalt,8.6,1.7,1.4,0.0,27.0,2.3,"{'unit': 'calories', 'value': 287.0}",1.7,210.0,0.0,0.0,0.0,0.0,30.0,0.0,0.0,0.0,0.0,1.0,0.0,287.0,Creme Vega,Dr. Oetker,,,
Rama Streichfett Sooo Buttrig! mit Vitamin B1...,"1,39 €","225g (1 kg = 6,18 €)",True,Vegane Vielfalt,6.18,0.5,,,45.0,0.5,"{'unit': 'calories', 'value': 713.0}",0.5,,,,,,79.0,,,,,1.0,,713.0,Sooo Buttrig,Rama,,,
Alsan Bio-Margarine 250g,"1,79 €","250g (1 kg = 7,16 €)",False,Vegane Vielfalt,7.16,0.1,0.1,0.0,39.0,0.1,"{'unit': 'calories', 'value': 720.0}",0.1,0.1,0.0,30.0,0.0,0.0,80.0,0.0,11.0,0.0,110.0,1.0,0.0,720.0,Margarine,Alsan Bio,,,
"REWE Bio + vegan Streichcreme Paprika,...","1,19 €","180g (1 kg = 6,61 €)",True,Vegane Vielfalt,6.61,4.3,4.0,0.0,0.0,7.0,"{'unit': 'calories', 'value': 335.0}",4.3,1.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0,0.0,0.0,1.0,0.0,335.0,vegane Streichcreme,,,,
Ita-San Unsalted Edamame 400g,"2,39 €","400g (1 kg = 5,98 €)",False,Vegane Vielfalt,5.98,5.7,0.0,0.0,1.1,12.0,"{'unit': 'calories', 'value': 142.0}",5.7,0.0,0.0,0.0,0.0,0.0,6.7,0.0,0.0,0.0,0.0,1.0,0.0,142.0,"Edamame, Unsalted",Ita-san,,,
Tante Fanny Frischer Dinkel-Pizzateig 400g,"2,69 €","400g (1 kg = 6,73 €)",False,Vegane Vielfalt,6.73,176.0,,11.2,5.6,44.0,"{'unit': 'calories', 'value': 1112.0}",187.2,92.0,,,,,23.2,,,,,1.0,,1112.0,Frischer Dinkel Pizzateig,Tante Fanny,,,
REWE Bio + vegan Falafelbällchen 200g,"2,49 €","200g (1 kg = 12,45 €)",False,Vegane Vielfalt,12.45,34.2,,,,17.6,"{'unit': 'calories', 'value': 426.0}",34.2,,,,,,21.2,,,,,1.0,,426.0,Falafelbällchen vegan bio,Rewe,,,
