Non Nutrient Data.Image URL,Non Nutrient Data.Original Name,Non Nutrient Data.Unit,Non Nutrient Data.Amount,Non Nutrient Data.Price per Unit,Non Nutrient Data.Weight per Unit (g),Non Nutrient Data.Price per 100g,Non Nutrient Data.Regulated Name,Non Nutrient Data.Regulated Name English,Non Nutrient Data.FDC Name,Non Nutrient Data.Food Category,Energy.Energy [KCAL],Macronutrient.Carbohydrate [G],Macronutrient.Fiber [G],Macronutrient.Protein [G],Macronutrient.Saturated Fat [G],Macronutrient.Total Fat [G],Micronutrient.Calcium [MG],Micronutrient.Choline [MG],Micronutrient.Copper [MG],Micronutrient.Folate [UG],Micronutrient.Iron [MG],Micronutrient.Magnesium [MG],Micronutrient.Manganese [MG],Micronutrient.Niacin [MG],Micronutrient.Omega 3 (ALA) [G],Micronutrient.Omega 6 [G],Micronutrient.Phosphorus [MG],Micronutrient.Potassium [MG],Micronutrient.Riboflavin [MG],Micronutrient.Selenium [UG],Micronutrient.Sodium [MG],Micronutrient.Thiamin [MG],Micronutrient.Vitamin A [UG],Micronutrient.Vitamin B-12 [UG],Micronutrient.Vitamin B-6 [MG],Micronutrient.Vitamin C [MG],Micronutrient.Vitamin E [MG],Micronutrient.Zinc [MG],Micronutrient.Omega 3 (EPA + DHA) [G],Micronutrient.Vitamin K [UG],Non Nutrient Data.Fullness Factor,Insulin Index,Insulin Index Food Name,Non Nutrient Data.Preparation Time
"https://img.rewe-static.de/0108820/23174444_digital-image.png?resize=152px:152px&output-quality=80&output-format=jpeg&im=BackgroundColor,color=fffff",Oryza Spitzen-Langkorn-Reis 1kg,100g,10.0,0.33,100.0,0.33,"Spitzen-Langkorn-Reis, roh","Long-grain rice, raw","Wild rice, raw",Cereal Grains and Pasta,368.24000000000007,74.9,6.2,14.73,0.156,1.08,21.0,35.0,0.524,95.0,1.96,177.0,1.329,6.733,0.7729999999999999,0.0,433.0,427.0,0.262,2.8,7.0,0.115,1.0,0.0,0.391,0.0,0.41,5.96,0.0,1.9,2.167107121912422,62,Brown rice,"Wildreis, roh"
"https://img.rewe-static.de/1009907/21880137_digital-image.png?resize=152px:152px&output-quality=80&output-format=jpeg&im=BackgroundColor,color=fffff",Rosenmehl Roggenmehl Type 1150 1kg,100g,10.0,0.22,100.0,0.22,"Roggenmehl, Type 1150","Rye flour, Type 1150","Rye flour, medium",Cereal Grains and Pasta,358.92,75.43,11.8,10.88,0.18,1.52,24.0,20.6,0.331,34.0,2.54,63.0,2.412,1.727,0.2993333333333333,0.0,225.0,374.0,0.114,14.4,2.0,0.287,0.0,0.0,0.268,0.0,0.715,2.17,0.0,5.9,2.853362532589047,73,Rye,"Roggenmehl, mittel"
"https://img.rewe-static.de/2439530/4732320_digital-image.png?resize=152px:152px&output-quality=80&output-format=jpeg&im=BackgroundColor,color=fffff",REWE Bio Gartenkresse 1 Stück,Stück,1.0,0.55,20.0,2.7500000000000004,"Kresse, roh","Watercress, raw","Watercress, raw",Vegetables and Vegetable Products,15.26,1.29,0.5,2.3,0.027,0.1,120.0,9.0,0.077,9.0,0.2,21.0,0.244,0.2,0.1255,0.0,60.0,330.0,0.12,0.9,41.0,0.09,160.0,0.0,0.129,43.0,0.5,0.11,0.0,250.0,4.588202767144333,93,"Honeydew melon, raw","Brunnenkresse, roh"
"https://img.rewe-static.de/7171655/28150481_digital-image.png?resize=152px:152px&output-quality=80&output-format=jpeg&im=BackgroundColor,color=fffff",REWE Bio Bulgur 500g,100g,5.0,0.4,100.0,0.4,"Bulgur, roh","Bulgur, raw","Bulgur, cooked",Cereal Grains and Pasta,88.79999999999998,18.58,4.5,3.08,0.042,0.24,10.0,6.9,0.075,18.0,0.96,32.0,0.609,1.0,0.127,0.0,40.0,68.0,0.028,0.6,5.0,0.057,0.0,0.0,0.083,0.0,0.005,0.57,0.0,0.5,2.6312674154046265,53,Semolina,"Bulgur, gekocht"
"https://img.rewe-static.de/0953288/1880270_digital-image.png?resize=152px:152px&output-quality=80&output-format=jpeg&im=BackgroundColor,color=fffff",Mondamin Feine Speisestärke 400g,100g,4.0,0.45,100.0,0.45,"Speisestärke, roh","Cornstarch, raw",Cornstarch,Cereal Grains and Pasta,366.57,91.27,0.9,0.26,0.009,0.05,2.0,0.4,0.05,0.0,0.47,3.0,0.053,0.0,0.016,0.0,13.0,3.0,0.0,2.8,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06,0.0,0.0,1.2991419211595006,65,Corn syrup,Maisstärke
"https://img.rewe-static.de/0397424/25287370_digital-image.png?resize=152px:152px&output-quality=80&output-format=jpeg&im=BackgroundColor,color=fffff",Bauckhof Bio Buchweizen Mehl...,100g,5.0,0.7,100.0,0.7,"Buchweizen Mehl, roh","Buckwheat flour, raw","Buckwheat flour, whole-groat",Cereal Grains and Pasta,360.74,70.59,10.0,12.62,0.677,3.1,41.0,54.2,0.515,54.0,4.06,251.0,2.03,6.15,0.6034999999999999,0.0,337.0,577.0,0.19,5.7,11.0,0.417,0.0,0.0,0.582,0.0,0.16,3.12,0.0,7.0,2.54102275142407,100,White Bread,"Buchweizenmehl, ganzkörnig"
"https://img.rewe-static.de/7700464/39931640_digital-image.png?resize=152px:152px&output-quality=80&output-format=jpeg&im=BackgroundColor,color=fffff",REWE Bio Goldhirse 800g,100g,8.0,0.21,100.0,0.21,Goldhirse,Millet,"Millet, cooked",Cereal Grains and Pasta,117.72,23.67,1.3,3.51,0.172,1.0,3.0,11.2,0.161,19.0,0.63,44.0,0.272,1.33,0.2495,0.0,100.0,62.0,0.082,0.9,2.0,0.106,0.0,0.0,0.108,0.0,0.01,0.91,0.0,0.3,2.27479994093852,104,Millet,"Hirse, gekocht"
"https://img.rewe-static.de/7090026/28970415_digital-image.png?resize=152px:152px&output-quality=80&output-format=jpeg&im=BackgroundColor,color=fffff",Seeberger Leinsamen 250g,100g,2.5,0.56,100.0,0.56,Leinsamen,Flaxseeds,"Seeds, flaxseed",Nut and Seed Products,568.1199999999999,28.88,27.3,18.29,3.663,42.16,255.0,78.7,1.22,87.0,5.73,392.0,2.482,3.08,0.6273333333333334,0.0,642.0,813.0,0.161,25.4,30.0,1.644,0.0,0.0,0.473,0.6,0.155,4.34,0.0,4.3,2.546447124494912,31,"Raisins, seedless","Samen, Leinsamen"
"https://img.rewe-static.de/2606958/27074271_digital-image.png?resize=152px:152px&output-quality=80&output-format=jpeg&im=BackgroundColor,color=fffff",Bauckhof Helles Bio Reismehl 500g,100g,5.0,0.6,100.0,0.6,"Reismehl, Bio","Rice flour, organic","Rice flour, brown",Cereal Grains and Pasta,359.86,76.48,4.6,7.23,0.557,2.78,11.0,0.0,0.23,16.0,1.98,112.0,4.013,6.34,0.3974999999999999,0.0,337.0,289.0,0.08,0.0,8.0,0.443,0.0,0.0,0.736,0.0,0.3,2.45,0.0,0.0,1.7157964278952615,79,Rice,"Reismehl, braun"
"https://img.rewe-static.de/8114340/6831180_digital-image.png?resize=152px:152px&output-quality=80&output-format=jpeg&im=BackgroundColor,color=fffff",Müller's Mühle Teller-Linsen 500g,100g,5.0,0.44,100.0,0.44,"Teller-Linsen, roh","Plate Lentils, raw","Lentils, raw",Legumes and Legume Products,361.46,63.35,10.7,24.63,0.154,1.06,35.0,96.4,0.754,479.0,6.51,47.0,1.393,2.605,0.7479999999999999,0.0,281.0,677.0,0.211,0.1,6.0,0.873,2.0,0.0,0.54,4.5,0.245,3.27,0.0,5.0,3.279638440128203,58,Lentil,"Linsen, roh"
"https://img.rewe-static.de/8943952/40416411_digital-image.png?resize=152px:152px&output-quality=80&output-format=jpeg&im=BackgroundColor,color=fffff",Wan Kwai Reisnudeln breit 250g,100g,2.5,1.04,100.0,1.04,Reisnudeln,Rice noodles,"Rice noodles, cooked",Cereal Grains and Pasta,105.0,24.01,1.0,1.79,0.023,0.2,4.0,1.6,0.038,1.0,0.14,3.0,0.114,0.072,0.0975,0.0,20.0,4.0,0.004,4.5,19.0,0.018,0.0,0.0,0.006,0.0,0.015,0.25,0.0,0.0,2.3114832961286003,79,Rice,"Reisnudeln, gekocht"
"https://img.rewe-static.de/2127455/22672443_digital-image.png?resize=152px:152px&output-quality=80&output-format=jpeg&im=BackgroundColor,color=fffff",Davert Bio Weißer Quinoa 200g,100g,2.0,1.5,100.0,1.5,"Quinoa, roh","Quinoa, raw","Quinoa, uncooked",Cereal Grains and Pasta,367.75,64.16,7.0,14.12,0.706,6.07,47.0,70.2,0.59,184.0,4.57,197.0,2.033,1.52,0.5905,0.0,457.0,563.0,0.318,8.5,5.0,0.36,1.0,0.0,0.487,0.0,2.44,3.1,0.047,1.1,2.200199009792714,4,"Avocado, raw, peeled","Quinoa, roh"
"https://img.rewe-static.de/0578901/5917630_digital-image.png?resize=152px:152px&output-quality=80&output-format=jpeg&im=BackgroundColor,color=fffff",REWE Bio Camembert 150g,100g,1.5,1.33,100.0,1.33,Camembert,Camembert,"Cheese, camembert",Dairy and Egg Products,299.38,0.46,0.0,19.8,15.259,24.26,388.0,15.4,0.021,62.0,0.33,20.0,0.038,0.63,0.962,0.0,347.0,187.0,0.488,14.5,842.0,0.028,241.0,0.65,0.227,0.0,0.105,2.38,0.0,2.0,2.273996546056994,45,Cheese,"Käse, Camembert"
"https://img.rewe-static.de/0570311/11327870_digital-image.png?resize=152px:152px&output-quality=80&output-format=jpeg&im=BackgroundColor,color=fffff",Kohlrabi 1 Stück,Stück,1.0,0.89,150.0,0.5933333333333333,"Kohlrabi, roh","Kohlrabi, raw","Kohlrabi, raw",Vegetables and Vegetable Products,32.5,6.2,3.6,1.7,0.013,0.1,24.0,12.3,0.129,16.0,0.4,19.0,0.139,0.4,0.039,0.0,46.0,350.0,0.02,0.7,20.0,0.05,2.0,0.0,0.15,62.0,0.24,0.03,0.0,0.1,4.376795458748907,48,Cauliflower,"Kohlrabi, roh"
"https://img.rewe-static.de/8745147/35627009_digital-image.png?resize=152px:152px&output-quality=80&output-format=jpeg&im=BackgroundColor,color=fffff",Dr. Oetker Classic Muffins Backmischung 380g,100g,3.8,0.87,100.0,0.87,"Muffins, Backmischung","Muffins, baking mix","Muffins, blueberry, dry mix",Baked Products,287.17,61.0,1.4,3.48,1.161,3.25,18.0,0.0,0.088,53.0,1.62,13.0,0.276,1.857,0.188,0.0,220.0,48.0,0.232,3.1,479.0,0.232,1.0,0.0,0.082,2.3,0.0,0.33,0.0,0.0,1.5857464578099472,69,Muffin,"Muffins, Blaubeere, Trockenmischung"
"https://img.rewe-static.de/6391559/1363720_digital-image.png?resize=152px:152px&output-quality=80&output-format=jpeg&im=BackgroundColor,color=fffff",Küchenmeister Kartoffelmehl 500g,100g,5.0,0.26,100.0,0.26,Kartoffelmehl,Potato flour,Potato flour,Vegetables and Vegetable Products,363.06,83.1,5.9,6.9,0.09,0.34,65.0,39.5,0.197,25.0,1.38,65.0,0.313,3.507,0.322,0.0,168.0,1001.0,0.051,1.1,55.0,0.228,0.0,0.0,0.769,3.8,0.125,0.54,0.0,0.0,1.7619295101341512,121,Potato,Kartoffelmehl
"https://img.rewe-static.de/1030265/26376354_digital-image.png?resize=152px:152px&output-quality=80&output-format=jpeg&im=BackgroundColor,color=fffff",Davert Bio Geschälte Hanfsamen 150g,100g,1.5,3.33,100.0,3.33,"Hanfsamen, geschält","Hemp seeds, shelled","Seeds, hemp seed, hulled",Nut and Seed Products,599.67,8.67,4.0,31.56,4.6,48.75,70.0,0.0,1.6,110.0,7.95,700.0,7.6,9.2,3.886333333333333,14.349,1650.0,1200.0,0.285,0.0,5.0,1.275,1.0,0.0,0.6,0.5,0.8,9.9,0.0,0.0,1.7903242799365842,31,"Raisins, seedless","Samen, Hanfsamen, geschält"
"https://img.rewe-static.de/2090875/22177428_digital-image.png?resize=152px:152px&output-quality=80&output-format=jpeg&im=BackgroundColor,color=fffff",Ben's Original Express Chili Con Carne...,100g,2.5,1.2,100.0,1.2,Chili Con Carne,Chili con carne,"Chili con carne with beans, canned entree","Meals, Entrees, and Side Dishes",106.83,13.1,3.3,5.8,1.253,3.47,33.0,22.5,0.096,21.0,1.34,28.0,0.205,0.782,0.0575,0.079,87.0,264.0,0.029,3.6,449.0,0.019,23.0,0.14,0.105,0.2,0.25,0.89,0.0,4.6,2.513948782524216,23,"Navy beans, canned","Chili con Carne mit Bohnen, Dosenmahlzeit"
"https://img.rewe-static.de/0349266/38810273_digital-image.png?resize=152px:152px&output-quality=80&output-format=jpeg&im=BackgroundColor,color=fffff",Davert Bio Dinkel wie Reis im Kochbeutel 250g,100g,2.5,1.08,100.0,1.08,"Dinkel, roh","Spelt, raw","Spelt, uncooked",Cereal Grains and Pasta,360.91,70.19,10.7,14.57,0.406,2.43,27.0,0.0,0.511,45.0,4.44,136.0,2.983,6.843,0.3339999999999999,0.0,401.0,388.0,0.113,11.7,8.0,0.364,0.0,0.0,0.23,0.0,0.79,3.28,0.0,3.6,2.777263250990793,46,Spaghetti,"Dinkel, roh"
"https://img.rewe-static.de/0043582/27809861_digital-image.png?resize=152px:152px&output-quality=80&output-format=jpeg&im=BackgroundColor,color=fffff",Bauckhof Bio Lichtkorn Roggenmehl Type 1150...,100g,10.0,0.25,100.0,0.25,"Roggenmehl, Lichtkorn",Light rye flour,"Rye flour, light",Cereal Grains and Pasta,357.97,76.68,8.0,9.82,0.15,1.33,13.0,10.8,0.213,23.0,0.91,32.0,1.162,0.8,0.2606666666666666,0.0,130.0,224.0,0.09,17.6,2.0,0.331,0.0,0.0,0.234,0.0,0.415,1.33,0.0,5.9,2.103784394067343,73,Rye,"Roggenmehl, hell"
"https://img.rewe-static.de/8733408/36096741_digital-image.png?resize=152px:152px&output-quality=80&output-format=jpeg&im=BackgroundColor,color=fffff",REWE Regional Hähnchen Oberschenke...,100g,6.0,0.67,100.0,0.67,"Hähnchen, Oberschenke, roh","Chicken, thigh, raw","Chicken, broilers or fryers, thigh, meat and skin, raw",Poultry Products,216.57,0.25,0.0,16.52,4.524,16.61,7.0,45.7,0.054,3.0,0.68,18.0,0.013,4.625,0.597,1.034,157.0,204.0,0.145,18.9,81.0,0.073,23.0,0.31,0.347,0.0,0.105,1.29,0.011,2.1,2.3763106317016818,17,"Chicken, roast, without skin","Hähnchen, Broiler oder Masthähnchen, Oberschenkel, Fleisch und Haut, roh"
"https://img.rewe-static.de/7857463/40192881_digital-image.png?resize=152px:152px&output-quality=80&output-format=jpeg&im=BackgroundColor,color=fffff",Antersdorfer Bio Dinkel pur 1kg,100g,10.0,0.39,100.0,0.39,Dinkel,Spelt,"Spelt, cooked",Cereal Grains and Pasta,135.41,26.44,3.9,5.5,0.0,0.85,10.0,0.0,0.215,13.0,1.67,49.0,1.091,2.57,0.0,0.0,150.0,143.0,0.03,4.0,5.0,0.103,0.0,0.0,0.08,0.0,0.26,1.25,0.0,0.0,2.271300160834817,46,Spaghetti,"Dinkel, gekocht"
"https://img.rewe-static.de/2823005/27128813_digital-image.png?resize=152px:152px&output-quality=80&output-format=jpeg&im=BackgroundColor,color=fffff",REWE Bio Hamburger Rindfleisch,100g,2.0,2.0,100.0,2.0,"Rindfleisch, roh","Beef, raw","Beef, grass-fed, ground, raw",Beef Products,192.25,0.0,0.0,19.42,5.335,12.73,12.0,67.4,0.063,6.0,1.99,19.0,0.01,4.818,0.071,0.0905,175.0,289.0,0.154,14.2,68.0,0.049,0.0,0.985,0.355,0.0,0.175,4.55,0.001,1.1,2.623624899206454,51,Beef,"Rindfleisch, Weidehaltung, gemahlen, roh"
"https://img.rewe-static.de/7291272/3647120_digital-image.png?resize=152px:152px&output-quality=80&output-format=jpeg&im=BackgroundColor,color=fffff",Landliebe Joghurt Vanille 500g,100g,5.0,0.44,100.0,0.44,"Joghurt, Vanille","Yogurt, vanilla","Yogurt, vanilla, non-fat",Dairy and Egg Products,79.92,17.04,0.0,2.94,0.0,0.0,118.0,15.6,0.013,11.0,0.0,16.0,0.004,0.107,0.24,0.0,88.0,141.0,0.2,4.9,47.0,0.042,61.0,0.265,0.045,0.0,0.005,0.83,0.0,0.0,2.706125194866072,46,Yogurt,"Joghurt, Vanille, fettfrei"
"https://img.rewe-static.de/1287110/23096990_digital-image.png?resize=152px:152px&output-quality=80&output-format=jpeg&im=BackgroundColor,color=fffff",REWE Bio Bratwurst grob 300g,100g,3.0,2.0,100.0,2.0,"Bratwurst, grob, roh","Bratwurst, coarse, raw","Bratwurst, pork, cooked",Sausages and Luncheon Meats,328.9,2.85,0.0,13.72,9.998,29.18,28.0,94.0,0.104,3.0,0.53,21.0,0.014,4.795,1.343,0.0,208.0,348.0,0.307,39.7,846.0,0.459,2.0,0.365,0.327,0.0,0.13,3.25,0.0,3.4,1.8442920145753627,19,Pork,"Bratwurst, Schwein, gekocht"
"https://img.rewe-static.de/1447517/24922048_digital-image.png?resize=152px:152px&output-quality=80&output-format=jpeg&im=BackgroundColor,color=fffff",REWE Beste Wahl Sojasauce 250ml,100g,2.5,0.72,100.0,0.72,Sojasauce,Soy sauce,Soy sauce made from soy (tamari),Legumes and Legume Products,65.22,5.57,0.8,10.51,0.011,0.1,20.0,38.4,0.135,18.0,2.38,40.0,0.499,3.951,0.535,0.0,130.0,212.0,0.152,0.8,5586.0,0.059,0.0,0.0,0.2,0.0,0.0,0.43,0.0,0.0,3.381895319821812,59,Fish sauce,Sojasauce aus Soja (Tamari)
"https://img.rewe-static.de/8575942/33904972_digital-image.png?resize=152px:152px&output-quality=80&output-format=jpeg&im=BackgroundColor,color=fffff",REWE Beste Wahl Knoblauch granuliert 52g,100g,0.52,3.83,100.0,3.83,Knoblauch,Garlic,"Garlic, raw",Vegetables and Vegetable Products,162.18,33.06,2.1,6.36,0.089,0.5,181.0,23.2,0.299,3.0,1.7,25.0,1.672,0.7,0.1575,0.0,153.0,401.0,0.11,14.2,17.0,0.2,0.0,0.0,1.235,31.2,0.04,1.16,0.0,1.7,2.124130523168926,4,"Avocado, raw, peeled","Knoblauch, roh"
"https://img.rewe-static.de/4248457/7453260_digital-image.png?resize=152px:152px&output-quality=80&output-format=jpeg&im=BackgroundColor,color=fffff",Ostmann Pfeffer schwarz gemahlen 40g,100g,0.4,4.97,100.0,4.97,"Pfeffer, schwarz, gemahlen","Pepper, black, ground","Spices, pepper, black",Spices and Herbs,326.7,63.95,25.3,10.39,1.392,3.26,443.0,11.3,1.33,17.0,9.71,171.0,12.753,1.143,0.341,0.0,158.0,1329.0,0.18,4.9,20.0,0.108,27.0,0.0,0.291,0.0,0.52,1.19,0.0,163.7,2.927247307591013,60,"Grapes, black, raw","Gewürze, Pfeffer, schwarz"
"https://img.rewe-static.de/8414675/31140345_digital-image.png?resize=152px:152px&output-quality=80&output-format=jpeg&im=BackgroundColor,color=fffff",REWE Beste Wahl Basilikum gerebelt 14g,100g,0.14,12.07,100.0,12.07,"Basilikum, gerebelt","Basil, chopped","Basil, fresh",Spices and Herbs,28.96,2.65,1.6,3.15,0.041,0.64,177.0,11.4,0.385,68.0,3.17,64.0,1.148,0.902,0.1773333333333333,0.0,56.0,295.0,0.076,0.3,4.0,0.034,264.0,0.0,0.155,18.0,0.4,0.81,0.0,414.8,4.633150980850332,41,"Carrot juice, fresh","Basilikum, frisch"
"https://img.rewe-static.de/2588140/24343912_digital-image.png?resize=152px:152px&output-quality=80&output-format=jpeg&im=BackgroundColor,color=fffff",REWE Bio Möhren 1kg,100g,10.0,0.22,100.0,0.22,"Möhren, roh","Carrots, raw","Carrots, raw",Vegetables and Vegetable Products,44.2,9.58,2.8,0.93,0.032,0.24,33.0,8.8,0.045,19.0,0.3,12.0,0.143,0.983,0.0579999999999999,0.0,35.0,320.0,0.058,0.1,69.0,0.066,835.0,0.0,0.138,5.9,0.33,0.24,0.0,13.2,3.616997817724288,42,Carrot,"Karotten, roh"
"https://img.rewe-static.de/2796073/25495811_digital-image.png?resize=152px:152px&output-quality=80&output-format=jpeg&im=BackgroundColor,color=fffff",Biozentrale Bio Kokosöl 200ml,100g,2.0,2.25,100.0,2.25,Kokosöl,Coconut oil,"Oil, coconut",Fats and Oils,891.54,0.0,0.0,0.0,82.475,99.06,1.0,0.3,0.0,0.0,0.05,0.0,0.0,0.0,0.0063333333333333,0.5586666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.055,0.02,0.0,0.6,0.0697029044976672,3,Cooking oil,"Öl, Kokosnuss"
